Model,Parameters,Size (KB),Size (MB),Time/Epoch (s),Accuracy (%),Precision (%),Recall (%)
Model A - Standard CNN,560612,2194.5205078125,2.1430864334106445,77.48295239500003,94.06440124647574,93.91147060384293,94.94034383721065
Model B - Lightweight CNN,9741,47.732421875,0.04661369323730469,69.69313674000004,62.64282534500668,51.69031391245412,47.865400290638426
MobileNetV2,2351972,9431.0732421875,9.21003246307373,101.94539887499995,97.14349309986645,97.03695431952416,97.55867209035657
EfficientNet-B0,4135648,16452.9794921875,16.067362785339355,118.78067759999976,97.81866745807983,97.59549699818584,98.09947610553154
